time/time_elapsed,time/iterations,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,train/explained_variance,train/policy_loss,train/n_updates,train/entropy_loss,time/fps
1,100,0.0007,32.0,500,4.869731128565036e-05,-0.9996731333333333,0.0,0.0093265725299716,99,-1.3802019357681274,385
2,200,0.0007,32.0,1000,0.03737818822264671,-1.0000183870967743,0.4213547706604004,-0.011298089288175106,199,-1.1219282150268555,399
3,300,0.0007,32.0,1500,0.00033936573890969157,-0.9999662391304348,-8.339982032775879,-0.006375935859978199,299,-1.2493724822998047,403
4,400,0.0007,32.0,2000,0.003355757100507617,-0.9999749516129032,-15.322614669799805,-0.04743991047143936,399,-1.0206140279769897,407
6,500,0.0007,32.0,2500,0.0063934712670743465,-0.9999800897435898,-14462.2568359375,0.06773882359266281,499,-1.2204211950302124,404
7,600,0.0007,32.0,3000,0.0006372125935740769,-0.9999833010752688,-22.862768173217773,-0.015486662276089191,599,-1.2952029705047607,403
8,700,0.0007,32.0,3500,0.0006294636405073106,-0.9999974899999999,-135.85623168945312,0.013925152830779552,699,-0.8598307967185974,401
9,800,0.0007,32.0,4000,1.3724937161896378e-05,-1.00005184,0.0,-0.00199820171110332,799,-0.85523921251297,402
11,900,0.0007,32.0,4500,0.000417427159845829,-0.99999194,-41.5499382019043,0.0032751222606748343,899,-1.2672466039657593,401
12,1000,0.0007,32.0,5000,0.0007624506833963096,-0.99998948,-163.24049377441406,-0.00880320556461811,999,-0.8232149481773376,399
13,1100,0.0007,32.0,5500,2.1889338313485496e-05,-0.9999680599999999,-5.101869583129883,-0.0028809045907109976,1099,-0.7755409479141235,397
15,1200,0.0007,32.0,6000,0.0017522331327199936,-0.9999679599999999,-371.9766540527344,0.006636116188019514,1199,-0.9358378648757935,397
16,1300,0.0007,32.0,6500,8.58936837175861e-05,-0.9999489199999999,-341.5901794433594,0.009975063614547253,1299,-1.0320185422897339,396
17,1400,0.0007,32.0,7000,9.27809833228821e-06,-0.9999489199999999,-3.2857565879821777,0.0002510992926545441,1399,-1.0418378114700317,394
19,1500,0.0007,32.0,7500,0.0016313117230311036,-0.99994468,-70.71449279785156,0.02113056369125843,1499,-0.4543376863002777,393
20,1600,0.0007,32.0,8000,1.639964830246754e-05,-0.99993899,0.0,-0.004283405374735594,1599,-0.9318813681602478,393
21,1700,0.0007,32.0,8500,0.00022553718008566648,-0.99993683,-2879.8525390625,0.006713053677231073,1699,-0.702401340007782,392
22,1800,0.0007,32.0,9000,4.322508902987465e-05,-0.9999582499999999,-3.2630038261413574,-0.00022576724586542696,1799,-0.47491565346717834,391
24,1900,0.0007,32.0,9500,1.5874195014475845e-05,-0.9999309400000002,0.0,-0.002392643364146352,1899,-1.1538437604904175,391
25,2000,0.0007,32.0,10000,0.002573820063844323,-0.9999241000000001,-72.04411315917969,-0.03983217105269432,1999,-1.0200780630111694,390
26,2100,0.0007,32.0,10500,5.8383553550811484e-05,-0.9998899099999999,-12.117825508117676,0.004726990591734648,2099,-1.2878144979476929,390
28,2200,0.0007,32.0,11000,0.00024094102263916284,-0.99986282,-257.4111022949219,-0.016747718676924706,2199,-1.3422119617462158,390
29,2300,0.0007,32.0,11500,0.0008286067168228328,-0.99987716,-5.797484874725342,-0.0194323118776083,2299,-0.6006238460540771,389
30,2400,0.0007,32.0,12000,0.00029037584317848086,-0.9998448500000001,-13.00606918334961,-0.01480121910572052,2399,-1.2914835214614868,389
32,2500,0.0007,32.0,12500,0.0037641022354364395,-0.99980373,0.3204733729362488,0.07000388205051422,2499,-1.225772738456726,389
33,2600,0.0007,32.0,13000,0.0011944740545004606,-0.9891158999999999,0.8995065093040466,-0.011865910142660141,2599,-0.6604481935501099,390
34,2700,0.0007,32.0,13500,0.0005766694666817784,-0.9891341500000002,-13.831217765808105,0.009233880788087845,2699,-1.1974210739135742,390
35,2800,0.0007,32.0,14000,0.00010435575677547604,-0.9891125199999999,-20.990062713623047,-0.005296287126839161,2799,-1.0604441165924072,390
37,2900,0.0007,32.0,14500,3.704171467688866e-05,-0.98914148,-14.191821098327637,-0.005580887198448181,2899,-0.975823700428009,389
38,3000,0.0007,32.0,15000,8.113581134239212e-05,-0.98917595,-115.20319366455078,-0.0034576866310089827,2999,-1.1997536420822144,389
39,3100,0.0007,32.0,15500,0.0015781488036736846,-0.9892209599999999,-21.590476989746094,-0.006048054900020361,3099,-0.350795716047287,389
